review_row_id,code_id,ayush_name,english_name,category,icd10_codes,common_symptoms,dosha_involvement,mapping_confidence,expert_status,expert_comments
MR-001,AYM_001,Vibandha,Constipation,Digestive,K59.0,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-002,AYM_002,Amlapitta,Hyperacidity/GERD,Digestive,K21,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-003,AYM_003,Atisara,Diarrhea,Digestive,A09,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-004,AYM_004,Grahani,Malabsorption syndrome,Digestive,K90,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-005,AYM_005,Vataja Vibandha,Vata-dominant constipation,Digestive,K59.0,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-006,AYM_006,Vataja Amlapitta,Vata-dominant hyperacidity/gerd,Digestive,K21,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-007,AYM_007,Vataja Atisara,Vata-dominant diarrhea,Digestive,A09,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-008,AYM_008,Vataja Grahani,Vata-dominant malabsorption syndrome,Digestive,K90,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-009,AYM_009,Pittaja Vibandha,Pitta-dominant constipation,Digestive,K59.0,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-010,AYM_010,Pittaja Amlapitta,Pitta-dominant hyperacidity/gerd,Digestive,K21,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-011,AYM_011,Pittaja Atisara,Pitta-dominant diarrhea,Digestive,A09,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-012,AYM_012,Pittaja Grahani,Pitta-dominant malabsorption syndrome,Digestive,K90,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-013,AYM_013,Kaphaja Vibandha,Kapha-dominant constipation,Digestive,K59.0,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-014,AYM_014,Kaphaja Amlapitta,Kapha-dominant hyperacidity/gerd,Digestive,K21,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-015,AYM_015,Kaphaja Atisara,Kapha-dominant diarrhea,Digestive,A09,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-016,AYM_016,Kaphaja Grahani,Kapha-dominant malabsorption syndrome,Digestive,K90,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-017,AYM_017,Sannipataja Vibandha,Mixed-dosha constipation,Digestive,K59.0,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-018,AYM_018,Sannipataja Amlapitta,Mixed-dosha hyperacidity/gerd,Digestive,K21,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-019,AYM_019,Sannipataja Atisara,Mixed-dosha diarrhea,Digestive,A09,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-020,AYM_020,Sannipataja Grahani,Mixed-dosha malabsorption syndrome,Digestive,K90,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-021,AYM_021,Sandhivata,Osteoarthritis,Musculoskeletal,"M15, M19",Joint pain or stiffness; Movement limitation; Localized inflammation,"Vata, Kapha",Prototype,Pending,
